"id_national","month","andeb","anfin","tmm","tnm","txm","rrtm"
23434111,2,1961,1990,9.7,4,15.2,33
23434111,3,1961,1990,11.1,5.3,16.8,37.3
23434111,4,1961,1990,14.4,7.6,21.2,53.9
23434111,5,1961,1990,18.8,11.4,26.2,52
23434111,6,1961,1990,23.7,15.5,31.8,18.9
23434111,7,1961,1990,27,18.4,35.5,7.6
23434111,8,1961,1990,26.5,18.2,34.7,20.2
23434111,9,1961,1990,23.3,15.9,30.6,20.7
23434111,10,1961,1990,18.8,12.6,24.9,60.3
23434111,11,1961,1990,13.8,8.5,19.1,54.9
23434111,12,1961,1990,9.8,4.9,14.7,47.6
33535111,1,1961,1990,11.5,6.2,16.9,23.5
33535111,2,1961,1990,12.6,6.9,18.3,23.9
33535111,3,1961,1990,14.2,8.2,20.2,33.1
33535111,4,1961,1990,16.9,10.6,23.3,29.9
33535111,5,1961,1990,21,14.1,28.3,18.9
33535111,6,1961,1990,25.4,17.9,32.9,10.4
33535111,7,1961,1990,28.5,20.6,36.8,4.9
33535111,8,1961,1990,28.7,21.1,36.3,12.3
33535111,9,1961,1990,25.4,19.1,31.9,39
33535111,10,1961,1990,20.8,15,26.5,48.1
33535111,11,1961,1990,15.9,10.3,21.6,28
33535111,12,1961,1990,12.5,7.2,17.8,33.8
33535321,1,1961,1990,9.1,4.2,14,37.9
33535321,2,1961,1990,10.1,4.9,15.3,34.6
33535321,3,1961,1990,11.6,6.2,17.2,44.7
33535321,4,1961,1990,14.5,8.4,20.5,40.1
33535321,5,1961,1990,18.5,11.7,25.3,33.3
33535321,6,1961,1990,22.8,15,30.5,17.6
33535321,7,1961,1990,26,17.7,34.3,9.8
33535321,8,1961,1990,26.2,18.2,34.1,20.7
33535321,9,1961,1990,22.6,16.1,29.3,44.6
33535321,10,1961,1990,18,12.2,23.8,57.1
33535321,11,1961,1990,13.6,8.1,19.1,29
33535321,12,1961,1990,10.1,5.2,15.2,32.3
33737131,1,1961,1990,11.7,7.4,16,31.2
33737131,2,1961,1990,11.8,7.8,15.9,31.3
33737131,3,1961,1990,14.5,10.4,18.6,32.1
33737131,4,1961,1990,15.9,11.2,20.6,26.6
33737131,5,1961,1990,19.7,15.1,24.1,14.2
33737131,6,1961,1990,23.2,19.1,27.2,6.4
33737131,7,1961,1990,25.8,21.5,30.1,1.6
33737131,8,1961,1990,27.8,23.4,32.2,10.5
33737131,9,1961,1990,26.3,22,30.6,32.1
33737131,10,1961,1990,22.7,18.5,27,63.8
33737131,11,1961,1990,17.3,13,21.6,32.5
33737131,12,1961,1990,12.8,8.5,17.2,51
33737331,1,1961,1990,11.5,6.5,16.6,36.2
